wkt_geom,id,mean
"MultiPolygon (((100.1734989940779883 15.27713905368598724, 100.1735408972619723 15.27713883413850482, 100.17354067108681193 15.27709815818982442, 100.17349876791089969 15.27709837773668866, 100.1734989940779883 15.27713905368598724)))",566,0.23793398
"MultiPolygon (((100.17349876791089969 15.27709837773668866, 100.17354067108681193 15.27709815818982442, 100.17354044491234788 15.27705748224098237, 100.1734985417444932 15.2770577017872391, 100.17349876791089969 15.27709837773668866)))",567,0.430797401
"MultiPolygon (((100.1734985417444932 15.2770577017872391, 100.17354044491234788 15.27705748224098237, 100.17354021873853753 15.27701680629199288, 100.17349831557876882 15.27701702583763854, 100.1734985417444932 15.2770577017872391)))",568,0.272215237
"MultiPolygon (((100.1735408972619723 15.27713883413850482, 100.17358280044527419 15.27713861458319045, 100.17358257426207047 15.27709793863512111, 100.17354067108681193 15.27709815818982442, 100.1735408972619723 15.27713883413850482)))",675,0.494325467
"MultiPolygon (((100.17354067108681193 15.27709815818982442, 100.17358257426207047 15.27709793863512111, 100.17358234807952044 15.2770572626868848, 100.17354044491234788 15.27705748224098237, 100.17354067108681193 15.27709815818982442)))",676,0.908207967
"MultiPolygon (((100.17354044491234788 15.27705748224098237, 100.17358234807952044 15.2770572626868848, 100.17358212189763833 15.27701658673851348, 100.17354021873853753 15.27701680629199288, 100.17354044491234788 15.27705748224098237)))",677,0.91828158
"MultiPolygon (((100.17354021873853753 15.27701680629199288, 100.17358212189763833 15.27701658673851348, 100.17358189571643834 15.2769759107899894, 100.17353999256540931 15.27697613034286128, 100.17354021873853753 15.27701680629199288)))",678,0.838521991
"MultiPolygon (((100.17353999256540931 15.27697613034286128, 100.17358189571643834 15.2769759107899894, 100.17358166953590626 15.27693523484131077, 100.1735397663929632 15.27693545439356626, 100.17353999256540931 15.27697613034286128)))",679,0.649478433
"MultiPolygon (((100.1735397663929632 15.27693545439356626, 100.17358166953590626 15.27693523484131077, 100.17358144335607051 15.27689455889248116, 100.17353954022118501 15.27689477844412203, 100.1735397663929632 15.27693545439356626)))",680,0.465017223
"MultiPolygon (((100.17353954022118501 15.27689477844412203, 100.17358144335607051 15.27689455889248116, 100.17358121717688846 15.27685388294350588, 100.17353931405007472 15.27685410249454279, 100.17353954022118501 15.27689477844412203)))",681,0.4607712
"MultiPolygon (((100.17358280044527419 15.27713861458319045, 100.17362470362792237 15.27713839502003168, 100.17362447743663267 15.27709771907257696, 100.17358257426207047 15.27709793863512111, 100.17358280044527419 15.27713861458319045)))",784,0.746688285
